Plotname;Plotid;Status;Location;Longitude;Latitude;utm_x;utm_y
HEW20;H548;EP;Forest;10.3602545497;51.3339278121;594759.810448805;5687838.34014164
HEW21;H20;EP;Forest;10.3190053755;51.1942782958;592165.284029655;5672256.50340935
HEW22;H551;EP;Forest;10.3592785389;51.3371502544;594685.181838559;5688195.42643814
HEW23;H104;EP;Forest;10.2084480501;51.2782177401;584286.832976059;5681458.02307952
HEW24;H300;EP;Forest;10.4912116326;51.0465026853;604530.629240678;5656054.12578991
HEW25;H304;EP;Forest;10.2239693692;51.2845669846;585357.608490041;5682182.01308889
HEW26;H313;EP;Forest;10.5130315249;51.3443262423;605378.394915029;5689203.06464125
HEW27;H310;EP;Forest;10.521263964;51.3561161433;605924.539488295;5690525.98211981
HEW28;H308;EP;Forest;10.526917886;51.358884052;606311.789394509;5690841.95956752
HEW29;H71407;EP;Forest;10.3796868348;51.1275428161;596544.436392272;5664913.34502592
HEW30;H71515;EP;Forest;10.3786368177;51.134683874;596456.08451047;5665706.04976896
HEW31;H71623;EP;Forest;10.3773142326;51.1422526286;596347.796886688;5666545.95935918
HEW32;H72920;EP;Forest;10.3585903186;51.1395282849;595043.642770186;5666218.65749224
HEW33;H38964;EP;Forest;10.5088148513;51.3415759448;605091.02104839;5688891.17745151
HEW34;H1192;EP;Forest;10.4542735979;51.0847108328;601857.570265034;5660251.01146679
HEW35;H9686;EP;Forest;10.4050739485;51.1046899612;598369.360494186;5662405.74773158
HEW36;H10804;EP;Forest;10.4093031658;51.106275772;598662.0593179;5662587.74846098
HEW37;H12905;EP;Forest;10.4586076362;51.0844264448;602161.739821816;5660225.3930415
HEW38;H13104;EP;Forest;10.4601745431;51.0793590584;602282.657268965;5659664.08637585
HEW39;H13939;EP;Forest;10.4658614642;51.0929539322;602650.897831602;5661183.72148178
HEW40;H18639;EP;Forest;10.4982588767;51.0799442764;604948.94763792;5659782.7552903
HEW41;H22709;EP;Forest;10.4549374111;51.1080561853;601852.7512569;5662847.88842943
HEW42;H23819;EP;Forest;10.4598259195;51.1027539809;602206.64955632;5662265.069215
HEW43;H531;EP;Forest;10.3580238771;51.3320987308;594608.185698041;5687632.06159936
HEW44;H674;EP;Forest;10.3680124678;51.3336765716;595300.751145092;5687820.44957581
HEW45;H305;EP;Forest;10.2611071882;51.3639605292;587795.714039178;5691054.73071073
HEW46;H238;EP;Forest;10.475472469;51.0480963843;603423.850187163;5656209.12412874
HEW47;H68;EP;Forest;10.3783438672;51.1789347352;596343.372817181;5670626.35901616
HEW48;H70517;EP;Forest;10.393698314;51.1366895595;597505.590680842;5665948.93423045
HEW49;H71125;EP;Forest;10.3845393934;51.1436471085;596850.282062166;5666710.51234845
HEW50;H12504;EP;Forest;10.4554452066;51.0928168175;601921.805891178;5661154.00178668
