Plotname;Plotid;Corner;Status;Location;Longitude;Latitude;utm_x;utm_y
HEG16;H12643;NW;EP;Grassland;10.4584851955609;51.0337203407252;602264.823229328;5654586.83741823
HEG16;H12643;SE;EP;Grassland;10.4592014856391;51.0332698902748;602316.037239255;5654537.74317029
HEG16;H12643;SW;EP;Grassland;10.4584851955609;51.0332698902748;602265.814794701;5654536.74871625
HEG17;H14529;NE;EP;Grassland;10.470814497764;51.0707297742252;603047.100563193;5658719.36540736
HEG17;H14529;NW;EP;Grassland;10.470097635036;51.0707297742252;602996.878574657;5658718.36251301
HEG17;H14529;SE;EP;Grassland;10.470814497764;51.0702793237748;603048.101041456;5658669.27646473
HEG17;H14529;SW;EP;Grassland;10.470097635036;51.0702793237748;602997.878565148;5658668.27356701
HEG18;H16581;NE;EP;Grassland;10.4250456737647;51.2838887841252;599381.220219502;5682359.56350971
HEG18;H16581;NW;EP;Grassland;10.4243254890353;51.2838887841252;599330.997520093;5682358.58891834
HEG18;H16581;SE;EP;Grassland;10.4250456737647;51.2834383336748;599382.192495531;5682309.47263265
HEG18;H16581;SW;EP;Grassland;10.4243254890353;51.2834383336748;599331.969304619;5682308.49803789
HEG19;H20606;NE;EP;Grassland;10.4735782466317;51.0734627331252;603234.641707057;5659027.13454915
HEG19;H20606;NW;EP;Grassland;10.4728613415683;51.0734627331252;603184.419725276;5659026.12973046
HEG19;H20606;SE;EP;Grassland;10.4735782466317;51.0730122826748;603235.644104908;5658977.04559754
HEG19;H20606;SW;EP;Grassland;10.4728613415683;51.0730122826748;603185.421635307;5658976.04077547
HEG20;H30205;NE;EP;Grassland;10.3713404084626;51.2212897326252;595765.994714452;5675327.11518669
HEG20;H30205;NW;EP;Grassland;10.3706212035374;51.2212897326252;595715.771914682;5675326.17816779
HEG20;H30205;SE;EP;Grassland;10.3713404084626;51.2208392821748;595766.929509462;5675277.02456915
HEG20;H30205;SW;EP;Grassland;10.3706212035374;51.2208392821748;595716.706219308;5675276.08754702
HEG21;H30909;NE;EP;Grassland;10.7529280613971;51.1909295676252;622492.669056067;5672517.66234197
HEG21;H30909;NW;EP;Grassland;10.7522093304029;51.1909295676252;622442.448277739;5672516.46493357
HEG21;H30909;SE;EP;Grassland;10.7529280613971;51.1904791171748;622493.863550082;5672467.57391543
HEG21;H30909;SW;EP;Grassland;10.7522093304029;51.1904791171748;622443.642281781;5672466.37650291
HEG22;H37447;NE;EP;Grassland;10.3252852822539;51.0309788946252;592931.072639477;5654105.55746354
HEG22;H37447;NW;EP;Grassland;10.3245690345461;51.0309788946252;592880.850094574;5654104.65435824
HEG22;H37447;SE;EP;Grassland;10.3252852822539;51.0305284441748;592931.973588881;5654055.46819461
HEG22;H37447;SW;EP;Grassland;10.3245690345461;51.0305284441748;592881.750556942;5654054.56508629
HEG23;H20426;NE;EP;Grassland;10.3385453805868;51.1345301903252;593651.514647146;5665637.16495398
HEG23;H20426;NW;EP;Grassland;10.3378275278132;51.1345301903252;593601.291909723;5665636.25147203
HEG23;H20426;SE;EP;Grassland;10.3385453805868;51.1340797398748;593652.425957389;5665587.07489735
HEG23;H20426;SW;EP;Grassland;10.3378275278132;51.1340797398748;593602.202731114;5665586.16141229
HEG24;H20438;NE;EP;Grassland;10.3515732230649;51.1012915872252;594630.857977702;5661957.71213393
HEG24;H20438;NW;EP;Grassland;10.3508558865351;51.1012915872252;594580.635376558;5661956.79018924
HEG24;H20438;SE;EP;Grassland;10.3515732230649;51.1008411367748;594631.777724493;5661907.62240439
HEG24;H20438;SW;EP;Grassland;10.3508558865351;51.1008411367748;594581.554635076;5661906.70045659
HEG25;H37029;NE;EP;Grassland;10.322699799966;51.0236152398252;592764.479931127;5653283.47506376
HEG25;H37029;NW;EP;Grassland;10.321983666034;51.0236152398252;592714.257393102;5653282.57381522
HEG25;H37029;SE;EP;Grassland;10.322699799966;51.0231647893748;592765.379027883;5653233.38584407
HEG25;H37029;SW;EP;Grassland;10.321983666034;51.0231647893748;592715.15600295;5653232.48459252
HEG26;H2815;NE;EP;Grassland;10.3720853263102;51.2817261242252;595692.470443806;5682048.71643719
HEG26;H2815;NW;EP;Grassland;10.3713651754898;51.2817261242252;595642.247503826;5682047.7781127
HEG26;H2815;SE;EP;Grassland;10.3720853263102;51.2812756737748;595693.406548;5681998.62533256
HEG26;H2815;SW;EP;Grassland;10.3713651754898;51.2812756737748;595643.183116571;5681997.6870048
HEG27;H20121;NE;EP;Grassland;10.5973471990928;51.0866725001252;611873.215925984;5660676.81803859
HEG27;H20121;NW;EP;Grassland;10.5966300893072;51.0866725001252;611822.994524811;5660675.72857019
HEG27;H20121;SE;EP;Grassland;10.5973471990928;51.0862220496748;611874.302750828;5660626.72959018
HEG27;H20121;SW;EP;Grassland;10.5966300893072;51.0862220496748;611824.080861564;5660625.64011811
HEG28;H20535;NE;EP;Grassland;10.4972814860184;51.2661317512252;604458.89512059;5680485.22382125
HEG28;H20535;NW;EP;Grassland;10.4965615795816;51.2661317512252;604408.672811877;5680484.20005549
HEG28;H20535;SE;EP;Grassland;10.4972814860184;51.2656813007748;604459.916439557;5680435.13343595
HEG28;H20535;SW;EP;Grassland;10.4965615795816;51.2656813007748;604409.693639633;5680434.10966663
HEG29;H20537;NE;EP;Grassland;10.4987871899488;51.2643352590252;604568.013732133;5680287.5955887
HEG29;H20537;NW;EP;Grassland;10.4980673116512;51.2643352590252;604517.791434977;5680286.5708187
HEG29;H20537;SE;EP;Grassland;10.4987871899488;51.2638848085748;604569.036052475;5680237.50522525
HEG29;H20537;SW;EP;Grassland;10.4980673116512;51.2638848085748;604518.813264139;5680236.48045169
HEG30;H20825;NE;EP;Grassland;10.3602703062618;51.2020776981252;595032.500524629;5673176.34732679
HEG30;H20825;NW;EP;Grassland;10.3595514013382;51.2020776981252;594982.277721022;5673175.41812706
HEG30;H20825;SE;EP;Grassland;10.3602703062618;51.2016272476748;595033.427518859;5673126.25681582
HEG30;H20825;SW;EP;Grassland;10.3595514013382;51.2016272476748;594983.204225209;5673125.3276129
HEG31;H20003;NE;EP;Grassland;10.2215548850259;51.1705837293252;585399.952232945;5669503.96293222
HEG31;H20003;NW;EP;Grassland;10.2208364711741;51.1705837293252;585349.728921169;5669503.12890463
HEG31;H20003;SE;EP;Grassland;10.2215548850259;51.1701332788748;585400.784302721;5669453.87209532
HEG31;H20003;SW;EP;Grassland;10.2208364711741;51.1701332788748;585350.560501492;5669453.03806488
HEG32;H20106;NE;EP;Grassland;10.5679685512404;51.0757358622252;609841.635932702;5659416.4683368
HEG32;H20106;NW;EP;Grassland;10.5672516109596;51.0757358622252;609791.414406387;5659415.39908279
HEG32;H20106;SE;EP;Grassland;10.5679685512404;51.0752854117748;609842.702595301;5659366.37982647
HEG32;H20106;SW;EP;Grassland;10.5672516109596;51.0752854117748;609792.480581095;5659365.31056886
HEG33;H20508;NE;EP;Grassland;10.4263219144429;51.1116616184252;599841.844364244;5663209.59761213
HEG33;H20508;NW;EP;Grassland;10.4256044169571;51.1116616184252;599791.622073342;5663208.62450922
HEG33;H20508;SE;EP;Grassland;10.4263219144429;51.1112111679748;599842.81513501;5663159.50813244
HEG33;H20508;SW;EP;Grassland;10.4256044169571;51.1112111679748;599792.592355633;5663158.53502623
HEG34;H30402;NE;EP;Grassland;10.3872947101645;51.2145169889252;596894.316760536;5674594.89218018
HEG34;H30402;NW;EP;Grassland;10.3865756110355;51.2145169889252;596844.094049066;5674593.94434447
HEG34;H30402;SE;EP;Grassland;10.3872947101645;51.2140665384748;596895.262343065;5674544.80168964
HEG34;H30402;SW;EP;Grassland;10.3865756110355;51.2140665384748;596845.039141325;5674543.85385067
HEG35;H30417;NE;EP;Grassland;10.4114787808984;51.2200525892252;598571.534776659;5675242.61777627
HEG35;H30417;NW;EP;Grassland;10.4107595953016;51.2200525892252;598521.312163237;5675241.65333349
HEG35;H30417;SE;EP;Grassland;10.4114787808984;51.2196021387748;598572.496923151;5675192.52735174
HEG35;H30417;SW;EP;Grassland;10.4107595953016;51.2196021387748;598522.273819355;5675191.56290563
HEG36;H20241;NE;EP;Grassland;10.5105915582081;51.0316717867252;605922.870106614;5654432.66133016
HEG36;H20241;NW;EP;Grassland;10.5098752997919;51.0316717867252;605872.648397049;5654431.63186717
HEG36;H20241;SE;EP;Grassland;10.5105915582081;51.0312213362748;605923.897078115;5654382.57289055
HEG36;H20241;SW;EP;Grassland;10.5098752997919;51.0312213362748;605873.674881448;5654381.54342411
HEG37;H20245;NE;EP;Grassland;10.5148524784044;51.0326159732252;606219.473170975;5654543.78560291
HEG37;H20245;NW;EP;Grassland;10.5141362053956;51.0326159732252;606169.251479808;5654542.75322069
HEG37;H20245;SE;EP;Grassland;10.5148524784044;51.0321655227748;606220.503054066;5654493.69717621
HEG37;H20245;SW;EP;Grassland;10.5141362053956;51.0321655227748;606170.280875779;5654492.66479054
HEG38;H20433;NE;EP;Grassland;10.3418939934485;51.1164279160252;593922.50165944;5663628.46451976
HEG38;H20433;NW;EP;Grassland;10.3411764219515;51.1164279160252;593872.278979978;5663627.54898529
HEG38;H20433;SE;EP;Grassland;10.3418939934485;51.1159774655748;593923.415014707;5663578.37462504
HEG38;H20433;SW;EP;Grassland;10.3411764219515;51.1159774655748;593873.19184671;5663577.45908748
HEG39;H20436;NE;EP;Grassland;10.3466064864841;51.1204500294252;594244.143645891;5664081.74650846
HEG39;H20436;NW;EP;Grassland;10.3458888525159;51.1204500294252;594193.920977245;5664080.82770496
HEG39;H20436;SE;EP;Grassland;10.3466064864841;51.1199995789748;594245.060261993;5664031.6566014
HEG39;H20436;SW;EP;Grassland;10.3458888525159;51.1199995789748;594194.83710474;5664030.7377948
HEG40;H30615;NE;EP;Grassland;10.4471717263792;50.9670382059252;601617.168167143;5647156.37925195
HEG40;H30615;NW;EP;Grassland;10.4464564650208;50.9670382059252;601566.946309018;5647155.3939357
HEG40;H30615;SE;EP;Grassland;10.4471717263792;50.9665877554748;601618.15110131;5647106.29103614
HEG40;H30615;SW;EP;Grassland;10.4464564650208;50.9665877554748;601567.928757228;5647105.30571663
HEG41;H888;NE;EP;Grassland;10.3672763585607;51.2212510802252;595482.277975274;5675317.52859058
