Plotname;Plotid;Corner;Status;Location;Longitude;Latitude;utm_x;utm_y
SEG16;S706;SE;EP;Grassland;13.999531624302;53.1153123855748;834506.996574448;5896784.14820692
SEG16;S706;SW;EP;Grassland;13.998781127898;53.1153123855748;834456.818427978;5896780.63744383
SEG17;S1015;NE;EP;Grassland;13.6263743107832;53.0985539342252;809676.311372246;5893241.17265774
SEG17;S1015;NW;EP;Grassland;13.6256241146168;53.0985539342252;809626.125949124;5893237.92538581
SEG17;S1015;SE;EP;Grassland;13.6263743107832;53.0981034837748;809679.551043823;5893191.10862473
SEG17;S1015;SW;EP;Grassland;13.6256241146168;53.0981034837748;809629.365094036;5893187.86133789
SEG18;S1039;NE;EP;Grassland;13.8759852468082;53.1375303871252;826077.975446124;5898682.43483632
SEG18;S1039;NW;EP;Grassland;13.8752343701918;53.1375303871252;826027.795261655;5898679.01012813
SEG18;S1039;SE;EP;Grassland;13.8759852468082;53.1370799366748;826081.392139815;5898632.37580943
SEG18;S1039;SW;EP;Grassland;13.8752343701918;53.1370799366748;826031.211427717;5898628.95108541
SEG19;S676;NE;EP;Grassland;14.0094664927919;53.1247420652252;835097.768042165;5897878.54221063
SEG19;S676;NW;EP;Grassland;14.0087158396081;53.1247420652252;835047.590670567;5897875.02405484
SEG19;S676;SE;EP;Grassland;14.0094664927919;53.1242916147748;835101.27795244;5897828.48606217
SEG19;S676;SW;EP;Grassland;14.0087158396081;53.1242916147748;835051.100053335;5897824.96789014
SEG20;S980;NE;EP;Grassland;13.6157568116234;53.1037419113252;808928.80967428;5893771.86874603
SEG20;S980;NW;EP;Grassland;13.6150065249766;53.1037419113252;808878.624053645;5893768.62872667
SEG20;S980;SE;EP;Grassland;13.6157568116234;53.1032914608748;808932.042112791;5893721.80448666
SEG20;S980;SW;EP;Grassland;13.6150065249766;53.1032914608748;808881.855965401;5893718.56445241
SEG21;S988;NE;EP;Grassland;13.6114881000097;53.1064689997252;808623.729459192;5894056.53827997
SEG21;S988;NW;EP;Grassland;13.6107377657903;53.1064689997252;808573.543760918;5894053.30114963
SEG21;S988;SE;EP;Grassland;13.6114881000097;53.1060185492748;808626.95901669;5894006.47392772
SEG21;S988;SW;EP;Grassland;13.6107377657903;53.1060185492748;808576.772791613;5894003.23678252
SEG22;S999;NE;EP;Grassland;13.9741774592484;53.1010615556252;832922.043883456;5895082.19468333
SEG22;S999;NW;EP;Grassland;13.9734272193516;53.1010615556252;832871.865665657;5895078.70246292
